RELEASE,FIGURE,SETTING,INDICATOR,GROUP,SUBGROUP,TIME,START_TIME,END_TIME,VALUE,MEASURE
5 2022,1,ED,Stimulants,Age,0-15 Years,6,06/01/2020,06/30/2020,0.072774907,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,6,06/01/2020,06/30/2020,0.196492249,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,6,06/01/2020,06/30/2020,0.0363875,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,7,07/01/2020,07/31/2020,4.278892073,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,7,07/01/2020,07/31/2020,0.031837,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,7,07/01/2020,07/31/2020,0.082776186,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,7,07/01/2020,07/31/2020,0.229226361,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,7,07/01/2020,07/31/2020,0.0573066,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,8,08/01/2020,08/31/2020,4.123517228,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,8,08/01/2020,08/31/2020,0.043934,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,8,08/01/2020,08/31/2020,0.075315383,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,8,08/01/2020,08/31/2020,0.22594615,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,8,08/01/2020,08/31/2020,0.0313814,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,9,09/01/2020,09/30/2020,4.78021978,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,9,09/01/2020,09/30/2020,0.0610501,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,9,09/01/2020,09/30/2020,0.0610501,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,9,09/01/2020,09/30/2020,0.201465201,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,9,09/01/2020,09/30/2020,0.018315,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,10,10/01/2020,10/31/2020,5.052606551,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,10,10/01/2020,10/31/2020,0.0356655,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,10,10/01/2020,10/31/2020,0.0475539,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,10,10/01/2020,10/31/2020,0.172383047,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,10,10/01/2020,10/31/2020,0.0534982,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,11,11/01/2020,11/30/2020,5.350039777,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,11,11/01/2020,11/30/2020,0.0464068,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,11,11/01/2020,11/30/2020,0.099443119,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,11,11/01/2020,11/30/2020,0.165738531,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,11,11/01/2020,11/30/2020,0.0397772,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,12,12/01/2020,12/31/2020,4.912228942,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,12,12/01/2020,12/31/2020,0.0147514,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,12,12/01/2020,12/31/2020,0.073757191,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,12,12/01/2020,12/31/2020,0.147514383,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,12,12/01/2020,12/31/2020,0.0295029,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,13,01/01/2021,01/31/2021,5.273728539,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,13,01/01/2021,01/31/2021,0.0323939,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,13,01/01/2021,01/31/2021,0.058309,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,13,01/01/2021,01/31/2021,0.213799806,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,13,01/01/2021,01/31/2021,0.0129576,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,14,02/01/2021,02/28/2021,5.90752824,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,14,02/01/2021,02/28/2021,0.0561285,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,14,02/01/2021,02/28/2021,0.0561285,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,14,02/01/2021,02/28/2021,0.238546271,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,14,02/01/2021,02/28/2021,0.0140321,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,15,03/01/2021,03/31/2021,5.434041437,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,15,03/01/2021,03/31/2021,0.0262261,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,15,03/01/2021,03/31/2021,0.073432992,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,15,03/01/2021,03/31/2021,0.246525046,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,15,03/01/2021,03/31/2021,0.0367165,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,16,04/01/2021,04/30/2021,4.583217945,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,16,04/01/2021,04/30/2021,0.0323087,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,16,04/01/2021,04/30/2021,0.0461553,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,16,04/01/2021,04/30/2021,0.253853965,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,16,04/01/2021,04/30/2021,0.0415397,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,17,05/01/2021,05/31/2021,4.220935842,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,17,05/01/2021,05/31/2021,0.0241196,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,17,05/01/2021,05/31/2021,0.0401994,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,17,05/01/2021,05/31/2021,0.196977006,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,17,05/01/2021,05/31/2021,0.0160798,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,18,06/01/2021,06/30/2021,4.209660843,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,18,06/01/2021,06/30/2021,0.04111,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,18,06/01/2021,06/30/2021,0.036999,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,18,06/01/2021,06/30/2021,0.094552929,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,18,06/01/2021,06/30/2021,0.008222,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,19,07/01/2021,07/31/2021,3.81075471,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,19,07/01/2021,07/31/2021,0.0117495,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,19,07/01/2021,07/31/2021,0.0352485,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,19,07/01/2021,07/31/2021,0.113578506,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,19,07/01/2021,07/31/2021,0.0195825,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,20,08/01/2021,08/31/2021,3.709271299,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,20,08/01/2021,08/31/2021,0.0338231,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,20,08/01/2021,08/31/2021,0.0225488,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,20,08/01/2021,08/31/2021,0.093953174,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,20,08/01/2021,08/31/2021,0.0150325,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,21,09/01/2021,09/30/2021,4.02663059,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,21,09/01/2021,09/30/2021,0.0249217,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,21,09/01/2021,09/30/2021,0.0284819,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,21,09/01/2021,09/30/2021,0.103246938,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,21,09/01/2021,09/30/2021,0.00712048,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,22,10/01/2021,10/31/2021,3.975150686,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,22,10/01/2021,10/31/2021,0.0369781,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,22,10/01/2021,10/31/2021,0.0295825,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,22,10/01/2021,10/31/2021,0.195984173,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,22,10/01/2021,10/31/2021,0.0221869,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,23,11/01/2021,11/30/2021,4.718546098,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,23,11/01/2021,11/30/2021,0.0221182,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,23,11/01/2021,11/30/2021,0.0331773,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,23,11/01/2021,11/30/2021,0.195377299,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,23,11/01/2021,11/30/2021,0.0147455,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,24,12/01/2021,12/31/2021,4.331660831,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,24,12/01/2021,12/31/2021,0.0541458,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,24,12/01/2021,12/31/2021,0.0397069,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,24,12/01/2021,12/31/2021,0.162437281,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,24,12/01/2021,12/31/2021,0.0108292,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,25,01/01/2022,01/31/2022,4.125467387,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,25,01/01/2022,01/31/2022,0.0457,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,25,01/01/2022,01/31/2022,0.0124636,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,25,01/01/2022,01/31/2022,0.186954715,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,25,01/01/2022,01/31/2022,0.0166182,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,26,02/01/2022,02/28/2022,4.668198793,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,26,02/01/2022,02/28/2022,0.047879,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,26,02/01/2022,02/28/2022,0.047879,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,26,02/01/2022,02/28/2022,0.287273772,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,26,02/01/2022,02/28/2022,0.0383032,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,27,03/01/2022,03/31/2022,4.676899754,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,27,03/01/2022,03/31/2022,0.0303203,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,27,03/01/2022,03/31/2022,0.0379003,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,27,03/01/2022,03/31/2022,0.288042448,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,27,03/01/2022,03/31/2022,0.0151601,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,28,04/01/2022,04/30/2022,4.750219748,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,28,04/01/2022,04/30/2022,0.0256373,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,28,04/01/2022,04/30/2022,0.0183123,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,28,04/01/2022,04/30/2022,0.241722824,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,28,04/01/2022,04/30/2022,0.0183123,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,29,05/01/2022,05/31/2022,4.574059862,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,29,05/01/2022,05/31/2022,0.0368381,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,29,05/01/2022,05/31/2022,0.018419,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,29,05/01/2022,05/31/2022,0.178050652,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,29,05/01/2022,05/31/2022,0.018419,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,30,06/01/2022,06/30/2022,4.240947846,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,30,06/01/2022,06/30/2022,0.014764,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,30,06/01/2022,06/30/2022,0.0332189,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,30,06/01/2022,06/30/2022,0.191931495,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,30,06/01/2022,06/30/2022,0.011073,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,31,07/01/2022,07/31/2022,3.797319539,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,31,07/01/2022,07/31/2022,0.0313504,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,31,07/01/2022,07/31/2022,0.039188,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,31,07/01/2022,07/31/2022,0.219452935,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,31,07/01/2022,07/31/2022,0.0078376,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,32,08/01/2022,08/31/2022,3.980294026,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,32,08/01/2022,08/31/2022,0.0273694,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,32,08/01/2022,08/31/2022,0.0508289,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,32,08/01/2022,08/31/2022,0.148576791,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,32,08/01/2022,08/31/2022,0.0117297,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,33,09/01/2022,09/30/2022,4.366511384,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,33,09/01/2022,09/30/2022,0.0393675,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,33,09/01/2022,09/30/2022,0.0360869,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,33,09/01/2022,09/30/2022,0.200118102,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,33,09/01/2022,09/30/2022,0.0131225,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,34,10/01/2022,10/31/2022,3.714028516,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,34,10/01/2022,10/31/2022,0.0087116,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,34,10/01/2022,10/31/2022,0.0290385,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,34,10/01/2022,10/31/2022,0.159711938,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,34,10/01/2022,10/31/2022,0.0116154,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,35,11/01/2022,11/30/2022,3.553188156,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,35,11/01/2022,11/30/2022,0.0156666,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,35,11/01/2022,11/30/2022,0.0344666,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,35,11/01/2022,11/30/2022,0.172332759,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,35,11/01/2022,11/30/2022,0.00626665,Percent
5 2022,1,ED,All Drugs,Age,16-34 Years,1,01/01/2020,01/31/2020,29.267796413,Percent
5 2022,1,ED,All Opioids,Age,16-34 Years,1,01/01/2020,01/31/2020,2.092840741,Percent
5 2022,1,ED,Stimulants,Age,16-34 Years,1,01/01/2020,01/31/2020,1.802168416,Percent
5 2022,1,ED,Cannabis,Age,16-34 Years,1,01/01/2020,01/31/2020,4.185681481,Percent
5 2022,1,ED,Benzodiazepine,Age,16-34 Years,1,01/01/2020,01/31/2020,0.479609336,Percent
5 2022,1,ED,All Drugs,Age,16-34 Years,2,02/01/2020,02/29/2020,29.71878727,Percent
5 2022,1,ED,All Opioids,Age,16-34 Years,2,02/01/2020,02/29/2020,2.190697382,Percent
5 2022,1,ED,Stimulants,Age,16-34 Years,2,02/01/2020,02/29/2020,1.883120959,Percent
5 2022,1,ED,Cannabis,Age,16-34 Years,2,02/01/2020,02/29/2020,4.39708744,Percent
5 2022,1,ED,Benzodiazepine,Age,16-34 Years,2,02/01/2020,02/29/2020,0.549243613,Percent
5 2022,1,ED,All Drugs,Age,16-34 Years,3,03/01/2020,03/31/2020,30.428288582,Percent
5 2022,1,ED,All Opioids,Age,16-34 Years,3,03/01/2020,03/31/2020,2.16402098,Percent
5 2022,1,ED,Stimulants,Age,16-34 Years,3,03/01/2020,03/31/2020,2.00423773,Percent
5 2022,1,ED,Cannabis,Age,16-34 Years,3,03/01/2020,03/31/2020,4.074472889,Percent
5 2022,1,ED,Benzodiazepine,Age,16-34 Years,3,03/01/2020,03/31/2020,0.472402654,Percent
5 2022,1,ED,All Drugs,Age,16-34 Years,4,04/01/2020,04/30/2020,32.573869705,Percent
5 2022,1,ED,All Opioids,Age,16-34 Years,4,04/01/2020,04/30/2020,2.705589178,Percent
5 2022,1,ED,Stimulants,Age,16-34 Years,4,04/01/2020,04/30/2020,2.628456153,Percent
5 2022,1,ED,Cannabis,Age,16-34 Years,4,04/01/2020,04/30/2020,4.622048178,Percent
5 2022,1,ED,Benzodiazepine,Age,16-34 Years,4,04/01/2020,04/30/2020,0.522131245,Percent
5 2022,1,ED,All Drugs,Age,16-34 Years,5,05/01/2020,05/31/2020,33.469977174,Percent
5 2022,1,ED,All Opioids,Age,16-34 Years,5,05/01/2020,05/31/2020,2.636605022,Percent
5 2022,1,ED,Stimulants,Age,16-34 Years,5,05/01/2020,05/31/2020,2.394372758,Percent
5 2022,1,ED,Cannabis,Age,16-34 Years,5,05/01/2020,05/31/2020,4.658312759,Percent
5 2022,1,ED,Benzodiazepine,Age,16-34 Years,5,05/01/2020,05/31/2020,0.656822099,Percent
5 2022,1,ED,All Drugs,Age,16-34 Years,6,06/01/2020,06/30/2020,32.643385754,Percent
5 2022,1,ED,All Opioids,Age,16-34 Years,6,06/01/2020,06/30/2020,2.559358619,Percent
5 2022,1,ED,Stimulants,Age,16-34 Years,6,06/01/2020,06/30/2020,2.254856614,Percent
5 2022,1,ED,Cannabis,Age,16-34 Years,6,06/01/2020,06/30/2020,4.729417206,Percent
5 2022,1,ED,Benzodiazepine,Age,16-34 Years,6,06/01/2020,06/30/2020,0.624421832,Percent
5 2022,1,ED,All Drugs,Age,16-34 Years,7,07/01/2020,07/31/2020,31.642732049,Percent
5 2022,1,ED,All Opioids,Age,16-34 Years,7,07/01/2020,07/31/2020,2.665499124,Percent
5 2022,1,ED,Stimulants,Age,16-34 Years,7,07/01/2020,07/31/2020,1.88441331,Percent
5 2022,1,ED,Cannabis,Age,16-34 Years,7,07/01/2020,07/31/2020,4.476357268,Percent
5 2022,1,ED,Benzodiazepine,Age,16-34 Years,7,07/01/2020,07/31/2020,0.553415061,Percent
5 2022,1,ED,All Drugs,Age,16-34 Years,8,08/01/2020,08/31/2020,31.938823024,Percent
5 2022,1,ED,All Opioids,Age,16-34 Years,8,08/01/2020,08/31/2020,2.338908987,Percent
5 2022,1,ED,Stimulants,Age,16-34 Years,8,08/01/2020,08/31/2020,1.887603424,Percent
5 2022,1,ED,Cannabis,Age,16-34 Years,8,08/01/2020,08/31/2020,4.659909023,Percent
5 2022,1,ED,Benzodiazepine,Age,16-34 Years,8,08/01/2020,08/31/2020,0.490705254,Percent
5 2022,1,ED,All Drugs,Age,16-34 Years,9,09/01/2020,09/30/2020,32.483361998,Percent
5 2022,1,ED,All Opioids,Age,16-34 Years,9,09/01/2020,09/30/2020,2.333059149,Percent
